"studyName","Topic","Description"
"Yamaji1991","Biomass","Trees were separated into roots, stems, branches and leaves, and then weighed. Sub-samples of the total fresh weight were taken and dried in ventilated ovens at 85 degC for a few days for fresh mass/dry mass estimates. The fresh biomass was converted into dry biomass estimates of roots, stem, branches and leaves per tree using the respective dry/fresh mass ratios."
"Yamaji1991","Growth environment","Plantation managed."
"Yamakura1972","Sampling strategy","Sampling was conducted in a 30 year-old Chamaecyparis obtusa plantation located on a slope of Mt. Watamuki, Shiaga, Japan (Yamakura et al. 1972). A sample plot (20 m times 15 m) was created in April of 1968. Six sample trees covering the size range were felled in November 1968. Stem diameter at 0.0 and 1.3 m aboveground, stem diameter just below the lowest living branch, stem diameter at 1/10 of tree height, tree heigh, clear bole length, and crown radius in two direction were measured. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m depth and separated into stem, branches, and foliage. Roots were cut into stump root and lateral roots and each was excavated by stump pulling apparatus. Most of the roots < 2 mm in diameter were torn off at pulling. To estimate fine root biomass of a plot, ten trenches, 0.5 times 0.5 times 1.0 m, were dug out. The estimate of fine root is not included in this data."
"Yamakura1972","Stem cross sectional area","Estimated from stem diameter."
"Yamakura1972","Height","Tree height and height to the lowest living branch were measured."
"Yamakura1972","Biomass","Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples taken for each component (stem, branch, foliage, and root) and each layer. These samples were mixed for each tree and each component. Fresh mass for stem ranged 772-1618 g. Subsamples were oven-dried at 80 deg C."
"Yamakura1986","Sampling strategy","One-hundred and nintey-one trees were felled, and their total height, clear bole length, crown diameter, stem diameter at 1/10 of Height, stem diameter just below the lowest living branch, stem diameters at 0.0 and 1.3 m aboveground and stem diameters at 5.0 m intervals were measured.  Biomass from felled trees was estimated using the stratified clip technique.  The tree body in each stratum (0.0-1.3 m, 1.3-5 m, 5-10 m, and then at intervals of 5m) was separated into stem, branches and leaves and each organ was weighed with balances appropriate to the size of the organ.  Subsamples of stems, branches and leaves were taken from each stratum of sample trees for estimating the ratio of fresh/dry mass, specific gravity of stem and leaf area.  Leaf samples were either traced by hand or photocopied."
"Yamakura1986","Leaf area","Leaf area for each stratum was calculated by multipling total leaf weight by the corresponding specific leaf area of subsampled leaves (traced by hand or photocopied and calculated using a planimeter or counting squares), and then the leaf area values of all of the strata were added to obtain leaf area per tree.  "
"Yamakura1986","Stem cross sectional area","Stem diameter was measured at multiple points along the tree (0.0, 1/10 the height of the tree, 130 cm aboveground, just below the lowest living branch, and at 5.0 m intervals along the full height of the tree).  "
"Yamakura1986","Height","Height was measured as the vertical distance from the ground surface to the highest apex of each tree."
"Yamakura1986","Biomass","Trees were separated into stems, branches and leaves according to different height strata (0-1.3m, 1.3-5m, 5-10m  and then at intervals of 5 m), and then weighed fresh in the field. Sub-samples from each strata were dried at 80oC for at least 7 days to obtain fresh mass/dry mass ratios."
"Yamakura1986","Growth environment","Field, wild."
"Yamakura1986","Year collected","1980-1981"
"Yasui1970","Sampling strategy","Forty-eight trees were selectively cut in a Quercus myrsinaefolia coppice forest (Shimoyamasa, Hirose cho, Shimane Prefecture, Japan) in November 1969.  Prior to this selective cut, the forest was selectivelycut in 1959, 1962, and 1966. By the first selective cut in 1959, the forest was made into nearly pure stand of Quercus myrsinaefolia. Within 48 felled trees, 16 sample trees were treated with the stratified clip technique by cutting them at the interval of 0.74 m and stem discs were collected. Branches and leaves were separated from stem in each 0.74 m layer and weighted for the fresh mass."
"Yasui1970","Stem cross sectional area","Estimated from stem diameter."
"Yasui1970","Height","Method not reported."
"Yasui1970","Biomass","Measured fresh mass of each component (stem, branch, and leaves) was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples taken. About 4 kg of branches or leaves were used for subsample. For stem, discs were used for subsamples. Subsamples were oven-dried at 105 degC for 24 h. The ratio was 0.72-0.84 for stem, 0.51 and 0.45 for branches and leaves, in average."
"Yasui1970","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Yasui and Fujie (1970). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Yasui1971","Sampling strategy","Sampling was conducted in three Quercus myrsinaefolia forests (Takae, Hakuta village, Shimane Prefecture, Japan, ca. 300 m a.s.l.) in October 1970. These forests were regenerated from sprouts after clear cutting. The forest ages were 8, 15, and 25 years old for plot 1, 2, and 3 respectively. Sample trees were treated with the stratified clip technique by cutting them at the interval of 0.74 m and stem discs were collected. Branches and leaves were separated from stem in each 0.74 m layer and weighted for the fresh mass."
"Yasui1971","Stem cross sectional area","Estimated from stem diameter."
"Yasui1971","Height","Method not reported."
"Yasui1971","Biomass","Measured fresh mass of each component (stem, branch, and leaves) was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples taken. About 4 kg of branches or leaves were used for subsample. For stem, discs were used for subsamples. Subsamples were oven-dried at 105 degC for 24 h."
"Yasui1971","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Yasui and Fujie (1970). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Yasui1983","Sampling strategy","Thirty-nine trees were selectively cut in a Quercus myrsinaefolia coppice forest (Shimoyamasa, Hirose cho, Shimane Prefecture, Japan) in November 1980.  Prior to this selective cut, the forest was selectively cut in 1959, 1962, 1966, 1969 (Yasue and Fujie 1970). By the first selective cut in 1959, the forest was made into nearly pure stand of Quercus myrsinaefolia. Within 39 felled trees, 33 sample trees were treated with the stratified clip technique by cutting them at the interval of 0.8 m and stem discs were collected. Branches and leaves were separated from stem in each 0.74 m layer and weighted for the fresh mass."
"Yasui1983","Stem cross sectional area","Estimated from stem diameter."
